
X,Y,Z,,Scale
-72.20554,3.5,-53.56411,,8.100054
29.1206818,3.5,-93.79624,,8.881369
-68.00028,3.5,88.44063,,7.811483
-55.69552,3.5,14.7352829,,7.07687
56.483532,3.5,-95.1197739,,9.78706551
50.0608444,3.5,30.6112671,,9.532065
80.9684753,3.5,65.50688,,8.519829
64.47168,3.5,10.189537,,7.608495
-87.05381,3.5,-6.014702,,9.196061
-80.37583,3.5,22.36148,,7.979239
-15.4160843,3.5,-87.38601,,7.80308628
18.5318146,3.5,27.6115341,,7.451019
40.3657455,3.5,-32.1540756,,8.563919
-41.82705,3.5,72.51103,,8.29236
53.8480263,3.5,-39.4989853,,7.2155695
-18.202507,3.5,-5.13088226,,7.476203
-53.82885,3.5,-59.6036758,,9.986352
-80.09127,3.5,95.45093,,7.101984
31.59819,3.5,96.85054,,8.00812
50.36084,3.5,-8.777061,,8.152857
41.31784,3.5,-80.0098,,9.898511
62.78789,3.5,51.9909058,,7.06312
82.66246,3.5,-8.405777,,7.00880337
73.3578644,3.5,75.17981,,9.59661
83.1306152,3.5,-29.4074783,,9.93779
-30.3485184,3.5,40.8326836,,8.646292
-73.56725,3.5,-95.10532,,8.282965
-6.929245,3.5,32.28151,,8.4028
-61.5277939,3.5,-73.046196,,9.414491
-97.79,3.5,-58.35476,,8.407474
-95.15838,3.5,36.27224,,8.770088
-50.7864761,3.5,-83.03858,,7.873446
92.4006042,3.5,-85.97129,,7.07514048
89.51564,3.5,5.99385834,,9.67524
-47.13166,3.5,-69.60824,,8.526456
62.6127472,3.5,99.87046,,8.982122
-87.30608,3.5,-78.20838,,8.054833
17.64759,3.5,-44.99134,,8.580509
-88.21058,3.5,7.717209,,8.724279
-27.0181961,3.5,99.1523,,7.450451
69.335556,3.5,61.9868469,,8.590546
-49.2634048,3.5,-35.5470657,,7.068437
16.6692581,3.5,90.75076,,9.097582
-13.9366,3.5,-28.6258163,,8.366106
29.7477264,3.5,-8.230576,,7.284004
-80.97291,3.5,33.2320633,,8.282285
-28.2777328,3.5,-68.54214,,7.6422267
31.9449387,3.5,64.90114,,9.632227
79.31313,3.5,96.56909,,9.484077
99.78809,3.5,-21.6594315,,8.426476
33.4064026,3.5,-19.90036,,8.826773
-19.729332,3.5,22.47583,,9.266536
45.6196747,3.5,43.75419,,8.074507
0.182098389,3.5,-87.84341,,7.21339846
91.63475,3.5,69.47832,,8.086805
-3.341568,3.5,-76.41976,,9.568652
67.7440948,3.5,-98.22282,,7.04651165
-44.0665665,3.5,-21.4974747,,8.298918
-30.6200333,3.5,51.43649,,9.717725
11.3647842,3.5,-64.83909,,8.003625
-83.22419,3.5,-40.1423721,,9.630667
51.54371,3.5,84.73082,,9.893424
-40.9245377,3.5,94.10799,,7.10172653
98.25305,3.5,95.0233459,,9.411442
22.7753525,3.5,8.233696,,9.205553
-65.95702,3.5,54.2989922,,8.930201
90.1157,3.5,55.4455681,,7.350771
-38.9540634,3.5,-34.94996,,7.556977
-40.9781876,3.5,-95.24528,,8.047411
34.740448,3.5,82.8532257,,9.702937
60.88333,3.5,-56.5503464,,8.713732
47.33226,3.5,68.49318,,7.40793037
2.692543,3.5,60.8728867,,8.554226
-90.71949,3.5,-18.5186,,8.883129
98.51587,3.5,-57.2123642,,8.725631
-37.49604,3.5,-51.8723068,,7.73454762
-88.78051,3.5,-96.05494,,8.840384
77.5509644,3.5,48.77402,,8.983043
66.89249,3.5,-29.6896133,,9.110165
-62.6493149,3.5,-41.3936539,,8.793056
-83.74546,3.5,53.5694351,,8.815027
-21.0961685,3.5,84.33656,,9.663704
-6.927803,3.5,91.46611,,8.246226
-10.7430344,3.5,59.8254852,,7.144001
51.2461853,3.5,56.287426,,9.682108
57.2541962,3.5,-18.5689163,,7.869028
-62.8220749,3.5,38.3890343,,9.687771
-53.6717148,3.5,51.47723,,8.954239
-99.6424942,3.5,-75.24181,,9.185264
-8.892876,3.5,18.8181763,,9.779758
-14.0394821,3.5,-98.04264,,7.720314
-6.977516,3.5,-54.8239365,,8.209219
60.76682,3.5,26.8948746,,7.64791
62.6228371,3.5,-1.00592041,,7.298416
-0.6250229,3.5,76.14208,,7.429016
-63.24227,3.5,2.60025024,,8.993366
-98.73098,3.5,9.866249,,9.875797
18.153183,3.5,-26.3477554,,8.528357
-98.650856,3.5,86.14854,,9.792178
-6.740341,3.5,-43.016,,8.431101
-99.58164,3.5,22.44056,,7.95108
-52.7318344,3.5,34.72091,,9.487196
97.20593,3.5,-10.4992523,,7.66444826
-34.0732346,3.5,-78.60404,,9.185598
72.39758,3.5,85.8614655,,9.980099
-54.3953629,3.5,-20.5283051,,8.285358
78.89015,3.5,24.6931152,,7.954753
25.8591614,3.5,51.447216,,8.398377
68.495636,3.5,-16.54818,,9.97277
-10.3352356,3.5,-65.8273239,,8.186715
37.2837067,3.5,-45.77607,,9.632819
55.0155373,3.5,-84.419014,,8.996056
-83.91273,3.5,-57.7609329,,7.05014753
-91.9013,3.5,71.13775,,7.38593674
24.6634369,3.5,-80.77448,,8.905332
55.3651276,3.5,-72.54,,8.307148
78.8950653,3.5,-18.6144714,,7.50169468
1.27442932,3.5,43.74093,,7.39886665
76.9764252,3.5,-65.88114,,7.52123737
5.4651413,3.5,-36.41178,,9.209805
85.11932,3.5,37.2610245,,7.761055
-72.77868,3.5,-10.1280594,,9.548409
-8.350029,3.5,-11.5437851,,7.067111
-97.48179,3.5,-2.92871857,,7.83156633
24.1772766,3.5,77.49765,,8.674338
-38.9051132,3.5,12.1556091,,9.400112
45.9949036,3.5,97.75055,,7.78029728
81.9848862,3.5,-96.8583145,,8.032896
28.7505341,3.5,21.2023621,,7.686211
-97.1162643,3.5,-29.8563461,,8.650244
4.413185,3.5,-5.3688736,,9.844638
-19.1273117,3.5,-38.786644,,9.83991051
-42.81481,3.5,-4.270859,,9.547309
98.17748,3.5,19.2581329,,7.94695425
38.8790131,3.5,5.384804,,9.646289
40.25466,3.5,18.2885666,,8.7763
-75.78785,3.5,3.02249146,,9.158201
80.10788,3.5,-51.4231033,,8.017118
17.6551666,3.5,39.06471,,8.25436
12.1525192,3.5,74.4645844,,7.338341
66.7909546,3.5,-84.66367,,8.70922
-70.9476852,3.5,64.44397,,8.351449
27.2932053,3.5,-55.7392044,,8.541448
-94.76879,3.5,99.41458,,7.41304
-37.0051956,3.5,24.901535,,9.563359
85.9133453,3.5,-73.84135,,8.090607
-12.09124,3.5,46.9465179,,7.110917
-61.58207,3.5,25.4197083,,8.883589
35.8068237,3.5,-68.11326,,9.611378
75.82466,3.5,8.52388,,9.659401
4.81454468,3.5,-50.428627,,9.437634
97.71068,3.5,-73.4994,,9.496117
-83.1135941,3.5,83.4378052,,8.91917
-67.3952255,3.5,15.2230835,,9.9978
-40.5804825,3.5,57.38923,,8.961909
-65.1160049,3.5,99.03191,,8.418863
9.439743,3.5,-16.1789169,,8.779758
-52.64367,3.5,74.98461,,8.06994152
29.8295059,3.5,39.8387833,,7.89249849
