
X,Y,Z,,Scale
7.656494,3.5,37.38031,,9.299144
2.38298035,3.5,-65.79116,,7.72990036
-74.43929,3.5,-63.8861,,8.054079
-12.5520325,3.5,-31.72297,,7.200031
-88.3849258,3.5,-40.5774,,9.526504
21.92572,3.5,74.83382,,9.39399
-71.00782,3.5,88.78865,,7.298672
-41.010643,3.5,83.14975,,9.537944
-41.2482376,3.5,5.04167175,,8.16535
-53.4536819,3.5,-95.1411362,,7.92625666
7.20521545,3.5,-50.014595,,7.644087
44.8257751,3.5,-69.93282,,8.579946
19.2913437,3.5,-9.059853,,7.605736
2.13703918,3.5,4.73033142,,7.00142765
-20.8578873,3.5,-7.442543,,7.26429272
-12.1463623,3.5,-59.8751144,,9.62405
60.5250854,3.5,-31.5345688,,9.671154
-90.54345,3.5,56.9789543,,9.408429
-96.7879257,3.5,44.88089,,7.14761639
37.0343475,3.5,58.1050529,,7.39077234
-7.852066,3.5,34.7250443,,7.696292
-61.133873,3.5,3.245903,,9.143207
91.08598,3.5,44.9727974,,9.710902
34.6467743,3.5,34.3927536,,9.786802
-72.01272,3.5,30.4342957,,8.216165
94.52549,3.5,11.0543823,,7.669824
-33.2830124,3.5,-61.5618057,,8.588538
74.85216,3.5,-2.36109161,,8.913376
81.34,3.5,70.36948,,9.428711
-22.0250473,3.5,-68.90734,,8.935018
58.71062,3.5,-21.0397949,,8.34446049
19.4326859,3.5,-54.97091,,7.134139
-90.50555,3.5,70.05748,,8.4382
-50.62957,3.5,52.3652,,7.13377
-36.3799362,3.5,18.71988,,8.654451
-3.903511,3.5,-6.968628,,7.734558
-57.95426,3.5,-46.4077835,,9.484615
-65.55041,3.5,51.965538,,7.076364
34.71231,3.5,71.52722,,8.857159
-45.94953,3.5,64.25705,,8.110649
-5.363014,3.5,69.50786,,9.172872
-24.275444,3.5,5.65145874,,7.969488
62.9105339,3.5,0.3584442,,8.732606
23.3180847,3.5,-28.2724228,,9.190976
-88.97451,3.5,94.32907,,7.32335567
86.57057,3.5,-36.52314,,7.43739653
68.9035339,3.5,-55.5344162,,7.75656652
-57.74369,3.5,84.4915161,,9.883939
33.9135437,3.5,3.860321,,7.627611
83.21106,3.5,-46.97489,,7.011597
-82.2313461,3.5,-0.434288025,,7.97545576
19.8136215,3.5,35.14878,,7.718844
-21.2950821,3.5,58.7854576,,8.000395
9.141609,3.5,61.7759361,,9.588488
81.00937,3.5,-64.4851761,,7.0382123
55.4920464,3.5,-67.28745,,7.994697
-64.02665,3.5,-88.52659,,8.558477
-88.0656357,3.5,-75.705986,,8.30846
6.87071228,3.5,-8.077072,,7.83805656
-27.9889,3.5,-85.20904,,9.603007
44.6947021,3.5,31.7852936,,7.61338663
-58.05581,3.5,-67.64922,,7.53753471
85.959,3.5,-86.7979355,,7.59355068
12.5075989,3.5,-71.95504,,7.12672043
94.08261,3.5,-66.85609,,7.46135139
90.78877,3.5,29.66761,,8.735782
8.64962,3.5,-88.65954,,8.358263
-66.7813644,3.5,72.15874,,7.8603816
13.9107437,3.5,49.8873177,,8.971816
-17.757164,3.5,24.286972,,8.48423
68.4893341,3.5,-72.08376,,8.654549
8.797928,3.5,79.30905,,8.034132
93.71605,3.5,81.375,,9.818388
56.44753,3.5,69.04564,,7.555934
45.90132,3.5,18.6293945,,7.558222
34.85074,3.5,-54.5364456,,9.816411
10.3404465,3.5,-34.23977,,9.234244
75.5660553,3.5,20.9377441,,7.853756
82.3646851,3.5,7.713249,,7.2427063
59.62644,3.5,84.4127655,,9.35798
54.0518265,3.5,96.1649857,,9.471777
67.51361,3.5,41.61453,,9.658025
97.95816,3.5,-81.96714,,8.208746
60.1601334,3.5,-89.01981,,8.317327
32.3250275,3.5,-39.6258,,7.632266
92.73105,3.5,-18.2023163,,9.839811
-32.64814,3.5,-14.70298,,9.815973
16.9475174,3.5,24.4497681,,8.104177
-33.10369,3.5,-74.68403,,9.548719
-72.60531,3.5,-33.09414,,7.45998859
25.3453751,3.5,-78.34438,,7.549867
-14.5292587,3.5,79.61206,,7.9533
-41.2942276,3.5,43.5426178,,8.343803
-72.69448,3.5,-53.077034,,7.25164461
-24.1524277,3.5,-29.0018234,,8.489188
96.58073,3.5,58.3326759,,9.612362
78.19162,3.5,55.6323471,,8.85769749
-78.70762,3.5,71.6524048,,8.074917
-12.507309,3.5,97.5991058,,8.059748
-99.70664,3.5,10.8881989,,9.07568
-58.1350632,3.5,-23.1909637,,9.921429
-89.67959,3.5,-21.4868011,,7.50764847
-69.10044,3.5,-9.536621,,7.89107
26.1517029,3.5,15.0773163,,9.14777851
73.13339,3.5,-86.15525,,7.943597
67.5742645,3.5,-98.62621,,7.112571
-45.2173843,3.5,-84.0316849,,7.89907026
24.5651855,3.5,-98.01717,,7.73687935
64.78229,3.5,-43.9123154,,9.212998
-82.89956,3.5,34.71763,,9.94648552
-33.76342,3.5,63.557476,,9.395556
-5.224457,3.5,56.7075424,,9.317698
43.45851,3.5,-34.1268845,,8.689834
-39.6480637,3.5,-24.784584,,7.39713
-4.0708847,3.5,-91.49583,,8.630048
-40.6228256,3.5,29.6983414,,9.231222
-5.56388855,3.5,-21.06173,,7.14284372
-92.99009,3.5,-52.5500565,,8.360482
-60.32673,3.5,-34.8220749,,8.004263
-50.57775,3.5,15.56913,,7.63414955
-12.7550507,3.5,-82.48109,,8.198366
73.0011444,3.5,31.2793655,,8.661045
-17.5597153,3.5,-45.5925522,,8.650041
45.814682,3.5,-85.31449,,7.467852
-45.76351,3.5,-66.27979,,7.130883
-60.86727,3.5,-56.5272141,,7.13493729
-78.62481,3.5,10.6924591,,8.965573
61.31778,3.5,21.89132,,7.58404541
41.46926,3.5,-23.9477844,,9.957167
-75.36213,3.5,-89.49247,,8.997237
-78.01829,3.5,-22.1564941,,8.419441
20.7840576,3.5,61.66524,,9.0722065
86.4360046,3.5,93.51082,,7.56820774
64.5423,3.5,99.22745,,8.699767
-58.5704575,3.5,-10.8600464,,9.006519
-33.18296,3.5,-43.32528,,8.062523
29.4395676,3.5,-8.509865,,8.938491
1.29515839,3.5,-77.38419,,9.112396
-90.59876,3.5,-10.3604965,,8.415595
76.3983,3.5,-18.2916641,,8.174484
-88.99355,3.5,-91.0971756,,9.632276
71.4948654,3.5,-33.88659,,8.812992
34.2765045,3.5,92.99826,,7.431448
-91.69665,3.5,-63.9697037,,9.531391
89.75606,3.5,-2.9101944,,8.763953
-55.587822,3.5,41.9867,,9.184516
-26.798851,3.5,82.34999,,7.234199
-6.48335266,3.5,17.2653961,,7.94578
-41.90551,3.5,-94.96609,,8.046302
23.9208374,3.5,48.888298,,7.21356726
5.83142853,3.5,21.2993011,,7.040214
-99.44683,3.5,78.3999939,,9.132348
53.61819,3.5,-44.6904068,,8.45574
