
X,Y,Z,,Scale
-55.7759,3.5,61.9208031,,7.91672754
-35.3423843,3.5,-87.19486,,7.35392857
-30.11126,3.5,-3.36663055,,9.234309
-69.48893,3.5,75.8483,,7.23930073
-41.4708328,3.5,-71.46371,,7.730897
90.94772,3.5,-86.2828445,,7.850682
4.714714,3.5,-47.91677,,9.074888
-53.1462173,3.5,-58.1116562,,7.193159
79.04944,3.5,13.3176346,,8.290327
18.43499,3.5,-96.61489,,9.271335
-23.50756,3.5,12.8834839,,8.685071
-65.261116,3.5,-68.0629044,,7.74792
-48.02903,3.5,40.6322441,,7.18990946
-11.0730972,3.5,-40.42222,,9.4405
52.45659,3.5,-19.1362228,,9.734169
-41.2996,3.5,15.866745,,9.819966
-58.538887,3.5,90.02726,,7.2512126
25.79644,3.5,75.81499,,7.52269125
45.3258972,3.5,-65.15131,,8.308161
-82.5765,3.5,57.4891472,,8.064124
93.75534,3.5,97.8330841,,8.640038
5.22361755,3.5,-81.15919,,9.746507
-87.8852,3.5,-13.3770676,,9.32414
-23.24572,3.5,28.4433517,,7.388908
-83.42477,3.5,-27.3372116,,9.197821
-59.2846756,3.5,-83.23853,,7.96522045
44.5325623,3.5,-32.1738663,,9.037111
-78.76278,3.5,-74.0977859,,7.48687744
31.258728,3.5,-45.72442,,7.27794
17.51751,3.5,-77.12281,,9.05816
-37.7929,3.5,-42.976326,,8.723325
-76.6769943,3.5,89.22417,,9.948518
23.6437073,3.5,55.1403465,,9.021296
89.96575,3.5,-99.54844,,9.765089
-45.78495,3.5,-3.5122757,,9.083212
69.87214,3.5,72.9006958,,8.931463
76.84123,3.5,-86.89498,,8.175381
-23.4831314,3.5,64.13446,,9.03216648
-63.5987167,3.5,-8.390747,,7.78406048
-23.4015884,3.5,88.37518,,8.22047
-93.88584,3.5,50.48515,,9.901638
99.91014,3.5,3.91555786,,9.321951
-0.0260696411,3.5,54.26916,,7.228421
44.2987976,3.5,-86.9653549,,9.511823
65.8882446,3.5,96.9194641,,7.70604563
-32.5847855,3.5,38.8293152,,9.478309
-73.64138,3.5,-51.8954849,,9.058448
23.4592819,3.5,-60.7217636,,9.620909
58.6700439,3.5,58.0999832,,7.727037
28.6296082,3.5,26.14994,,9.379632
93.00049,3.5,66.61372,,7.51855135
-5.276764,3.5,81.68645,,7.91860247
-66.18551,3.5,34.3528366,,8.886284
-97.80091,3.5,-95.54673,,9.738448
7.64364624,3.5,84.87219,,8.824792
-90.323494,3.5,-75.58514,,7.33142757
33.46689,3.5,-27.5931931,,9.452432
